"Latest: Time (s)","Latest: Illumination (lux)"
2.876,134.96383667
2.878,128.959960938
2.88,131.768035889
2.882,138.347625732
2.884,141.731414795
2.886,152.62298584
2.888,150.931091309
2.89,152.247009277
2.892,83.4902954102
2.894,176.485748291
2.896,67.5230407715
2.898,104.533233643
2.9,140.039520264
2.902,111.67678833
2.904,141.543426514
2.906,145.679168701
2.908,135.339813232
2.91,110.548858643
2.912,115.612792969
2.914,109.044952393
2.916,104.909210205
2.918,125.012207031
2.92,122.380371094
2.922,132.707977295
2.924,125.012207031
2.926,118.620605469
2.928,110.924835205
2.93,108.856964111
2.932,89.6939086914
2.934,67.5230407715
2.936,153.938903809
2.938,73.914642334
2.94,118.620605469
2.942,105.66116333
2.944,101.901397705
2.946,94.5816040039
2.948,82.3623657227
2.95,86.3101196289
2.952,89.8818969727
2.954,97.5894165039
2.956,101.14944458
2.958,103.969268799
2.96,93.2656860352
2.962,88.7539672852
2.964,88.0020141602
2.966,77.4864196777
2.968,81.2461853027
2.97,36.7164611816
2.972,157.13470459
2.974,57.7593994141
2.976,72.5987243652
2.978,55.3155517578
2.98,42.1681213379
2.982,61.7071533203
2.984,44.6119689941
2.986,55.3155517578
2.988,45.9278869629
2.99,56.2554931641
2.992,56.8194580078
2.994,49.3116760254
2.996,53.9996337891
2.998,43.6720275879
3,48.5597229004
3.002,44.7999572754
3.004,47.6197814941
3.006,42.5440979004
3.008,47.2438049316
3.01,110.548858643
3.012,44.2359924316
3.014,36.1524963379
3.016,74.4786071777
3.018,79.5542907715
3.02,53.9996337891
3.022,37.8443908691
3.024,39.9122619629
3.026,39.7242736816
3.028,41.2281799316
3.03,38.0323791504
3.032,39.9122619629
3.034,43.4840393066
3.036,42.7320861816
3.038,47.0558166504
3.04,46.3038635254
3.042,45.5519104004
3.044,44.2359924316
3.046,44.2359924316
3.048,66.7710876465
3.05,40.2882385254
3.052,98.7055969238
3.054,57.9473876953
3.056,54.5635986328
3.058,66.0308837891
3.06,59.2633056641
3.062,53.4356689453
3.064,52.6837158203
3.066,54.5635986328
3.068,52.4957275391
3.07,65.2789306641
3.072,70.154876709
3.074,66.395111084
3.076,79.5542907715
3.078,63.0230712891
3.08,66.9590759277
3.082,60.2032470703
3.084,60.9552001953
3.086,62.8350830078
3.088,144.927215576
3.09,76.922454834
3.092,60.9552001953
3.094,147.171325684
3.096,61.3311767578
3.098,96.4614868164
3.1,71.8467712402
3.102,81.8101501465
3.104,79.930267334
3.106,94.0176391602
3.108,106.413116455
3.11,102.277374268
3.112,104.721221924
3.114,91.1978149414
