"Latest: Time (s)","Latest: Illumination (lux)"
41.294,71.658782959
41.295,72.5987243652
41.296,72.7867126465
41.297,76.5464782715
41.298,75.7945251465
41.299,75.9825134277
41.3,73.5386657715
41.301,72.7867126465
41.302,73.5386657715
41.303,75.9825134277
41.304,78.8023376465
41.305,79.7422790527
41.306,80.1182556152
41.307,76.922454834
41.308,74.1026306152
41.309,72.7867126465
41.31,72.410736084
41.311,75.9825134277
41.312,75.9825134277
41.313,75.418548584
41.314,75.418548584
41.315,72.2227478027
41.316,72.0347595215
41.317,73.3506774902
41.318,78.0503845215
41.319,81.434173584
41.32,80.3062438965
41.321,78.0503845215
41.322,72.7867126465
41.323,74.1026306152
41.324,76.5464782715
41.325,80.8702087402
41.326,80.682220459
41.327,77.4864196777
41.328,73.162689209
41.329,73.5386657715
41.33,73.5386657715
41.331,74.4786071777
41.332,77.1104431152
41.333,75.6065368652
41.334,76.922454834
41.335,75.418548584
41.336,75.2305603027
41.337,74.4786071777
41.338,75.6065368652
41.339,76.7344665527
41.34,78.9903259277
41.341,79.5542907715
41.342,76.3584899902
41.343,72.410736084
41.344,71.8467712402
41.345,71.8467712402
41.346,73.914642334
41.347,75.6065368652
41.348,76.5464782715
41.349,75.7945251465
41.35,73.5386657715
41.351,72.5987243652
41.352,73.5386657715
41.353,74.4786071777
41.354,74.8545837402
41.355,77.8623962402
41.356,78.8023376465
41.357,78.9903259277
41.358,75.418548584
41.359,72.7867126465
41.36,72.410736084
41.361,74.4786071777
41.362,78.6143493652
41.363,78.2383728027
41.364,75.6065368652
41.365,71.4707946777
41.366,71.658782959
41.367,72.410736084
41.368,74.2906188965
41.369,76.922454834
41.37,76.3584899902
41.371,77.1104431152
41.372,75.9825134277
41.373,74.666595459
41.374,72.9747009277
41.375,74.4786071777
41.376,74.8545837402
41.377,77.2984313965
41.378,77.2984313965
41.379,77.4864196777
41.38,75.0425720215
41.381,72.7867126465
41.382,70.906829834
41.383,70.5308532715
41.384,73.162689209
41.385,75.9825134277
41.386,79.5542907715
41.387,77.1104431152
41.388,74.8545837402
41.389,72.9747009277
41.39,74.8545837402
41.391,75.6065368652
41.392,82.3623657227
41.393,81.6221618652
41.394,78.6143493652
41.395,74.4786071777
41.396,72.410736084
41.397,73.3506774902
41.398,73.914642334
41.399,75.6065368652
41.4,76.3584899902
41.401,75.2305603027
41.402,72.5987243652
41.403,72.5987243652
41.404,71.4707946777
41.405,76.3584899902
41.406,77.4864196777
41.407,79.930267334
41.408,79.178314209
41.409,76.170501709
41.41,72.7867126465
41.411,72.2227478027
41.412,72.7867126465
41.413,75.0425720215
41.414,76.3584899902
41.415,75.418548584
41.416,74.666595459
41.417,73.5386657715
41.418,73.162689209
41.419,72.7867126465
41.42,72.7867126465
41.421,75.6065368652
41.422,80.1182556152
41.423,78.6143493652
41.424,78.0503845215
41.425,75.0425720215
41.426,74.4786071777
41.427,74.2906188965
41.428,76.170501709
41.429,78.0503845215
41.43,75.9825134277
41.431,73.3506774902
41.432,71.2828063965
41.433,70.7188415527
41.434,72.0347595215
41.435,75.6065368652
41.436,76.3584899902
41.437,74.666595459
41.438,73.914642334
41.439,71.8467712402
41.44,73.7266540527
41.441,76.5464782715
41.442,79.3663024902
41.443,79.5542907715
41.444,77.2984313965
41.445,76.5464782715
41.446,75.7945251465
41.447,73.5386657715
41.448,73.162689209
41.449,71.658782959
41.45,71.8467712402
41.451,72.410736084
41.452,74.4786071777
41.453,75.418548584
41.454,73.914642334
41.455,73.3506774902
41.456,72.7867126465
41.457,75.0425720215
41.458,77.2984313965
41.459,80.8702087402
41.46,79.7422790527
41.461,77.8623962402
41.462,74.8545837402
41.463,73.914642334
41.464,73.914642334
41.465,74.666595459
