"Latest: Time (s)","Latest: Illumination (lux)"
14.332,105.285186768
14.333,105.285186768
14.334,103.969268799
14.335,103.593292236
14.336,104.909210205
14.337,104.15725708
14.338,104.345245361
14.339,103.969268799
14.34,103.781280518
14.341,105.097198486
14.342,106.601104736
14.343,103.593292236
14.344,105.097198486
14.345,105.097198486
14.346,106.413116455
14.347,105.473175049
14.348,106.789093018
14.349,104.345245361
14.35,104.345245361
14.351,103.593292236
14.352,103.781280518
14.353,104.909210205
14.354,104.345245361
14.355,103.781280518
14.356,104.533233643
14.357,104.533233643
14.358,104.15725708
14.359,105.473175049
14.36,105.66116333
14.361,103.781280518
14.362,103.969268799
14.363,105.849151611
14.364,106.037139893
14.365,105.66116333
14.366,105.66116333
14.367,104.15725708
14.368,104.909210205
14.369,104.345245361
14.37,105.285186768
14.371,103.405303955
14.372,103.593292236
14.373,104.533233643
14.374,105.66116333
14.375,105.285186768
14.376,105.473175049
14.377,103.969268799
14.378,106.225128174
14.379,107.16506958
14.38,107.353057861
14.381,106.037139893
14.382,105.473175049
14.383,105.66116333
14.384,105.285186768
14.385,104.909210205
14.386,105.285186768
14.387,104.15725708
14.388,103.593292236
14.389,103.405303955
14.39,105.285186768
14.391,104.721221924
14.392,104.909210205
14.393,105.097198486
14.394,105.849151611
14.395,106.037139893
14.396,104.721221924
14.397,107.16506958
14.398,105.66116333
14.399,105.473175049
14.4,103.969268799
14.401,104.909210205
14.402,104.909210205
14.403,103.405303955
14.404,104.15725708
14.405,105.473175049
14.406,103.593292236
14.407,105.473175049
14.408,105.473175049
14.409,105.097198486
14.41,104.15725708
14.411,104.533233643
14.412,104.345245361
14.413,105.097198486
14.414,105.473175049
14.415,105.66116333
14.416,104.15725708
14.417,104.721221924
14.418,104.15725708
14.419,103.969268799
14.42,104.15725708
14.421,103.593292236
14.422,105.66116333
14.423,103.781280518
14.424,104.15725708
14.425,104.721221924
14.426,104.909210205
14.427,106.037139893
14.428,104.909210205
14.429,106.789093018
14.43,105.473175049
14.431,105.66116333
14.432,104.345245361
14.433,105.097198486
14.434,106.601104736
14.435,105.473175049
14.436,105.849151611
14.437,105.66116333
14.438,103.405303955
14.439,102.841339111
14.44,105.849151611
14.441,104.15725708
14.442,106.225128174
14.443,104.909210205
14.444,104.15725708
14.445,104.345245361
14.446,106.601104736
14.447,107.16506958
14.448,105.66116333
14.449,104.909210205
14.45,105.473175049
14.451,104.721221924
14.452,105.097198486
14.453,105.097198486
14.454,103.781280518
14.455,104.345245361
14.456,103.405303955
14.457,104.721221924
14.458,103.405303955
14.459,105.097198486
14.46,103.405303955
14.461,104.909210205
14.462,105.66116333
14.463,105.473175049
14.464,104.909210205
14.465,105.285186768
14.466,105.097198486
14.467,104.533233643
14.468,104.15725708
14.469,104.909210205
14.47,104.909210205
14.471,102.841339111
14.472,104.345245361
14.473,103.217315674
14.474,103.969268799
14.475,104.345245361
14.476,104.15725708
14.477,104.15725708
14.478,106.225128174
14.479,106.037139893
14.48,105.473175049
14.481,105.097198486
14.482,105.285186768
14.483,104.909210205
14.484,104.15725708
14.485,103.593292236
14.486,105.097198486
14.487,105.285186768
14.488,103.029327393
14.489,104.345245361
14.49,105.66116333
14.491,104.533233643
14.492,105.849151611
14.493,104.15725708
14.494,105.849151611
14.495,104.15725708
14.496,105.473175049
14.497,106.413116455
14.498,105.849151611
14.499,105.66116333
14.5,105.66116333
14.501,105.097198486
14.502,103.969268799
14.503,105.097198486
14.504,105.097198486
14.505,103.593292236
14.506,105.285186768
14.507,103.781280518
14.508,106.037139893
14.509,104.345245361
14.51,105.849151611
14.511,105.66116333
14.512,104.533233643
14.513,106.413116455
14.514,106.037139893
14.515,104.15725708
14.516,104.533233643
14.517,104.345245361
14.518,104.909210205
14.519,103.781280518
14.52,105.66116333
14.521,103.593292236
14.522,102.841339111
14.523,103.405303955
14.524,106.225128174
14.525,106.601104736
14.526,105.473175049
14.527,105.849151611
14.528,104.533233643
14.529,104.533233643
14.53,105.66116333
14.531,104.721221924
14.532,105.473175049
14.533,105.849151611
14.534,106.789093018
14.535,103.593292236
14.536,105.097198486
14.537,105.849151611
14.538,104.533233643
14.539,104.345245361
14.54,105.66116333
14.541,105.66116333
14.542,103.781280518
14.543,105.285186768
14.544,103.593292236
14.545,103.593292236
14.546,107.16506958
14.547,107.16506958
14.548,106.977081299
14.549,104.15725708
14.55,105.473175049
14.551,105.285186768
14.552,104.533233643
14.553,105.849151611
14.554,105.097198486
14.555,104.909210205
14.556,103.217315674
14.557,104.15725708
14.558,104.721221924
14.559,106.225128174
14.56,106.037139893
14.561,104.15725708
14.562,105.473175049
14.563,105.849151611
14.564,106.601104736
14.565,105.097198486
14.566,104.345245361
14.567,106.037139893
14.568,104.533233643
14.569,105.285186768
14.57,104.15725708
14.571,103.969268799
14.572,104.909210205
14.573,103.969268799
14.574,104.721221924
14.575,104.909210205
14.576,104.909210205
14.577,104.909210205
14.578,104.533233643
14.579,104.345245361
14.58,105.66116333
14.581,105.097198486
14.582,105.849151611
14.583,105.66116333
14.584,103.969268799
14.585,105.66116333
14.586,104.15725708
14.587,103.781280518
14.588,102.465362549
14.589,105.473175049
14.59,103.405303955
14.591,104.533233643
14.592,105.473175049
14.593,104.533233643
14.594,105.66116333
14.595,104.345245361
14.596,107.541046143
14.597,106.225128174
14.598,106.601104736
14.599,106.789093018
14.6,104.15725708
14.601,106.225128174
14.602,106.225128174
14.603,105.66116333
14.604,105.285186768
14.605,104.909210205
14.606,103.781280518
14.607,104.533233643
14.608,104.909210205
14.609,104.909210205
14.61,105.097198486
14.611,105.097198486
14.612,104.909210205
14.613,107.541046143
14.614,104.909210205
14.615,104.533233643
14.616,105.097198486
14.617,106.037139893
14.618,103.593292236
14.619,105.66116333
14.62,103.405303955
14.621,103.029327393
14.622,102.841339111
14.623,104.345245361
14.624,105.849151611
14.625,106.037139893
14.626,104.345245361
14.627,105.285186768
14.628,105.285186768
14.629,104.533233643
14.63,105.097198486
14.631,105.66116333
14.632,104.15725708
14.633,106.789093018
14.634,104.533233643
14.635,104.15725708
14.636,105.66116333
14.637,105.473175049
14.638,103.781280518
14.639,104.15725708
14.64,106.225128174
14.641,104.533233643
14.642,103.969268799
14.643,105.473175049
14.644,104.533233643
14.645,103.781280518
14.646,108.105010986
14.647,105.849151611
14.648,106.413116455
14.649,104.909210205
14.65,104.909210205
14.651,104.15725708
14.652,104.909210205
14.653,103.593292236
14.654,104.345245361
14.655,104.345245361
14.656,103.969268799
14.657,105.097198486
14.658,103.969268799
14.659,105.097198486
14.66,104.345245361
14.661,106.225128174
14.662,106.225128174
14.663,107.353057861
14.664,104.533233643
14.665,105.849151611
14.666,105.849151611
14.667,104.909210205
14.668,103.593292236
14.669,105.473175049
14.67,104.345245361
14.671,102.841339111
14.672,103.593292236
14.673,104.721221924
14.674,105.473175049
14.675,103.969268799
14.676,104.345245361
14.677,103.969268799
14.678,104.909210205
14.679,104.15725708
14.68,105.849151611
14.681,106.601104736
14.682,104.15725708
14.683,104.533233643
14.684,103.405303955
14.685,105.66116333
14.686,104.909210205
14.687,103.593292236
14.688,104.345245361
14.689,103.405303955
14.69,103.405303955
14.691,104.533233643
14.692,104.721221924
14.693,105.285186768
14.694,103.969268799
14.695,104.533233643
14.696,104.909210205
14.697,106.977081299
14.698,104.909210205
14.699,104.345245361
14.7,105.66116333
14.701,103.781280518
14.702,105.285186768
14.703,105.097198486
14.704,104.15725708
14.705,103.405303955
14.706,103.217315674
14.707,105.097198486
14.708,104.909210205
14.709,106.225128174
14.71,105.097198486
14.711,104.909210205
14.712,104.345245361
14.713,104.345245361
14.714,106.977081299
14.715,104.15725708
14.716,104.721221924
14.717,105.473175049
14.718,105.849151611
14.719,104.15725708
14.72,104.345245361
14.721,103.217315674
14.722,104.721221924
14.723,104.909210205
14.724,104.345245361
14.725,104.721221924
